id,class
6505,2
18967,8
7384,7
52772,9
5777,4
40133,5
2012,1
15634,6
29997,6
32391,4
5733,2
39408,2
22589,0
51151,2
21876,9
21461,4
43127,5
57367,7
12272,9
16980,5
50367,1
9468,6
20105,7
15415,5
28536,3
6001,0
15054,5
12466,8
34045,0
13912,6
49647,4
440,0
23980,0
3974,5
18066,7
12766,2
31006,4
31338,2
33517,8
9208,8
22262,4
57761,1
14772,8
52080,8
54723,5
57443,4
46867,2
22853,8
12947,0
52410,2
3014,8
31510,7
30024,6
21211,8
6506,8
24653,4
49053,7
19293,6
35980,7
2210,8
19688,2
15459,6
8692,6
44838,0
8151,6
47203,7
54754,2
33791,9
58710,2
24573,3
50875,2
16650,2
24585,6
7435,1
26017,5
31201,3
52466,7
4311,1
56773,9
53202,9
9946,6
23232,8
49987,0
21763,6
55319,2
23378,0
52372,9
59389,7
27605,9
55226,6
10656,5
2050,4
832,5
44203,8
48111,0
3785,9
1277,1
17533,7
53800,0
26220,9
18420,4
16163,0
37714,0
42615,8
8105,6
35731,7
22966,8
48284,0
58712,4
12593,3
35114,5
51861,8
50360,7
3843,7
13363,4
8810,2
19006,0
59743,4
41922,0
32827,3
3293,8
52553,9
53971,5
38161,0
53844,5
13317,3
31579,3
19378,4
38374,7
41355,4
25185,2
44391,8
36294,6
50353,0
29528,3
34454,7
39429,2
5316,9
48814,5
48178,2
11576,2
668,0
16874,4
19240,0
42465,9
14748,5
31937,0
27408,5
44825,9
45786,3
50703,9
30507,6
25863,7
20424,2
7970,6
7991,6
33392,0
26257,8
11600,2
9667,4
56499,5
56307,8
25245,3
24940,0
37508,7
43593,0
41035,8
53100,5
27909,9
7322,3
34956,6
52889,2
49730,9
6290,5
25645,3
46727,2
43643,6
5776,5
34629,3
5032,4
32555,9
38618,2
47634,8
49965,6
16713,1
49481,5
12711,4
56668,1
45499,1
5643,1
8755,4
36470,5
27992,6
35282,0
45220,1
769,8
3529,0
13830,0
31065,3
45733,6
22945,2
47698,7
20420,0
16885,1
48884,2
9882,7
50963,7
25636,6
31927,7
6813,9
34336,6
35670,2
37858,4
45519,5
42323,2
28138,7
37493,8
27870,3
10355,6
3780,7
49043,6
39840,2
22052,7
21928,1
20057,6
19666,4
8152,2
14000,1
43339,1
52797,0
46152,5
13829,5
30212,0
4565,0
31263,0
34215,1
1548,1
4187,2
36157,7
16795,7
51347,8
51614,2
39400,5
4802,4
16480,9
57601,0
53657,0
55347,9
2771,3
40880,1
59929,0
44988,1
44430,9
12941,7
43255,3
48775,9
888,7
23185,2
41886,4
14362,8
53328,0
27745,5
18170,7
39534,7
50821,8
25412,2
38832,8
20857,7
48924,9
33134,7
41850,3
47988,7
32751,2
23394,6
20934,0
47486,6
43755,8
3698,0
46556,2
56509,0
9639,3
20307,9
34386,7
8328,6
24965,3
41275,7
56355,2
11320,0
49493,8
25008,8
51844,5
54629,0
15665,4
40113,9
50706,7
21782,5
34842,8
22531,4
9560,7
22899,1
10703,5
38427,2
15159,6
51914,7
14204,5
28307,8
45755,6
32828,5
30077,3
19030,9
35080,9
9445,7
973,6
4580,8
17986,1
34023,3
18258,1
39160,1
7064,6
24752,2
8582,2
27729,8
24376,1
51701,3
58463,4
14722,0
746,4
44074,9
24468,9
59221,9
58038,0
5457,9
24317,5
59308,3
35799,5
3820,6
12810,6
53825,2
39406,6
15729,4
910,6
46873,7
24809,0
44989,6
22995,7
40746,0
12700,3
43763,7
2040,1
16839,9
11185,7
590,4
28363,4
29234,9
35358,9
53151,9
26060,9
49828,6
2950,7
54231,8
58830,1
44954,7
47099,8
50355,6
9907,1
26983,6
47279,1
18203,4
18427,7
6744,8
39965,5
31372,2
102,1
19574,7
56,0
36233,8
35207,5
13667,2
41266,1
24518,7
13665,7
51023,7
5490,4
50316,5
58852,9
15517,9
29349,9
9734,1
32422,3
37599,6
15635,7
46632,6
2099,9
24724,2
45358,2
25402,5
58032,2
2605,5
16529,3
18926,0
23726,7
35628,5
22437,9
59342,0
42296,7
3193,9
2401,5
7469,1
7492,9
33275,9
49595,0
51760,2
51172,8
1263,5
25514,8
17607,1
54334,9
1362,8
40148,1
35251,8
59244,0
41806,0
16700,7
28685,2
16271,7
50486,4
30405,5
52004,6
11070,8
9512,6
56760,9
6989,1
54957,7
32930,9
54124,6
6396,6
49528,0
32732,9
43616,1
49928,5
21150,3
24369,3
29828,1
26930,0
59850,5
22848,1
12530,4
6890,4
7243,0
39662,8
30961,5
20284,2
11370,7
45883,5
6694,9
20272,6
32246,1
7227,4
23150,4
11810,7
15367,9
29807,1
56683,1
18718,0
27951,0
50811,6
35537,6
37651,9
2747,1
55304,2
59234,5
13291,4
3207,6
3155,1
35601,6
2165,5
58221,7
2972,8
22798,1
38967,8
45199,8
5882,1
37305,1
19312,7
20504,7
55426,7
37256,6
58899,7
2001,8
39900,3
43989,1
58009,7
59598,3
16583,6
48192,8
35985,1
43154,6
20372,8
37761,1
6756,7
32736,6
57404,8
8867,8
42834,1
27579,8
12990,3
51786,2
47204,5
40089,8
48510,1
45391,4
40252,8
49191,2
42950,2
58569,5
40478,5
26308,0
42809,4
15445,0
12147,6
52973,4
32131,0
45878,3
3127,6
8765,3
20295,7
13481,6
997,0
4261,8
28661,7
1935,3
39055,0
47116,8
20942,3
13211,0
49464,9
4110,6
53503,0
16727,9
51176,5
5011,3
2853,1
48298,7
22318,3
49985,3
5522,9
32541,0
46665,6
38112,8
34286,8
4967,8
48400,5
17413,1
14643,7
24108,8
40485,9
42482,9
6270,2
28043,4
2794,1
23993,1
2059,6
36547,7
44148,5
32059,5
22904,6
57836,7
15479,4
6242,8
57264,3
39323,2
34648,6
9878,7
44243,0
52826,5
5283,7
12440,9
4441,1
13339,4
49815,0
42003,8
18993,1
45714,2
53186,8
30115,6
38364,0
43709,4
49223,9
26472,6
22287,7
38326,2
14333,3
26851,7
53876,2
50318,9
34360,6
48520,4
6853,5
16383,7
39430,6
24336,3
57499,4
2893,4
9298,1
18530,6
18432,6
808,3
8194,1
36139,7
19609,5
8615,1
46108,5
25206,0
20531,0
17988,3
22703,8
23829,3
13260,1
34717,2
44118,8
3751,7
9158,0
26009,1
25676,0
20338,4
51686,3
37424,9
58999,4
15139,3
31265,1
3603,0
20357,0
55351,4
14858,1
45908,0
360,2
19168,1
23075,6
1348,3
31072,9
45514,6
13467,0
16569,3
52188,2
22857,0
47267,0
21565,6
41472,7
24089,2
37458,8
21236,7
27422,5
22907,5
24534,8
12673,6
45403,1
34703,6
8585,9
10365,1
38887,9
36428,4
21191,0
2661,3
11551,6
17051,0
49492,9
2486,6
39527,0
6939,3
56023,0
50314,4
28187,1
48332,2
25758,1
872,0
37292,6
32820,7
21953,0
14330,6
43329,8
20114,0
37059,0
713,2
51008,8
28599,4
59500,3
46042,7
614,5
37820,5
59920,2
7882,0
1613,4
50129,7
11646,4
14139,2
44163,8
14711,2
43738,9
9730,3
54260,5
34611,4
34880,7
10070,9
20172,4
57312,3
40111,8
25340,6
10688,2
11771,7
52142,2
18454,2
18148,1
29934,0
59183,8
19523,6
22215,6
34866,3
43938,8
57748,7
27658,0
57503,2
57691,6
23115,1
4245,0
19910,9
5935,6
20026,9
35467,8
24539,3
18215,2
51516,9
9719,6
56456,1
52500,9
40712,7
9046,4
22326,7
41352,0
16240,7
56287,7
31380,8
38712,3
9959,3
25486,8
7354,5
53252,3
8838,0
47335,0
22980,4
9932,3
11566,7
44951,0
29481,2
26968,1
859,0
30385,9
17529,9
21530,5
16452,6
28552,6
48262,6
35217,0
36792,6
12980,6
33817,3
40174,9
57203,1
18347,5
32086,0
1364,9
22700,1
55249,3
17801,4
32905,0
13621,6
7964,5
31782,5
20958,0
37148,5
29168,9
13396,8
22241,8
503,8
34714,0
49174,7
3454,6
45785,9
36142,2
22576,9
29857,9
81,0
46385,1
36852,3
34936,2
36504,6
489,0
59854,1
41047,6
14790,9
11685,4
18502,7
28922,1
53430,2
22669,0
3121,9
47076,8
23928,5
11006,2
15534,3
52683,5
43387,0
50033,3
35200,6
34974,8
28794,1
33462,1
46249,7
23530,1
28573,4
33420,5
47045,6
46557,0
25197,4
34678,8
36706,4
35551,4
12576,7
19455,8
54647,9
34559,2
8612,0
58727,1
31166,1
33288,5
34687,7
49181,2
41272,6
38053,3
37672,8
11872,8
33203,2
51118,2
8951,8
53237,2
46248,7
28525,2
9115,7
39144,8
4981,0
53407,0
28296,0
20657,8
29101,0
33814,6
27313,3
40141,6
7348,7
42733,7
31417,9
53256,0
24898,9
16881,9
46738,8
59961,3
10080,0
2291,6
29733,7
20979,0
56429,0
7755,9
55557,8
33996,7
43219,4
18708,4
18323,2
28072,0
17666,9
35058,3
46003,6
35028,0
18629,8
37395,4
55715,3
12276,0
8219,1
21550,5
17380,7
25294,2
48804,9
20986,8
49486,2
26476,1
35108,1
29585,0
10007,1
20358,9
10040,1
14616,4
21859,9
55976,4
3410,0
16488,9
47827,6
29450,7
52181,7
58824,5
11978,3
14596,2
29696,5
9858,5
33569,8
11822,7
53188,7
46470,1
37360,2
57725,7
16630,7
12725,1
33504,7
3537,6
4068,3
141,7
41059,6
9126,6
9392,4
3302,9
32984,3
11005,4
20144,4
46240,1
55190,3
11381,4
6938,8
20886,0
55620,8
6605,2
29624,2
43436,2
18664,1
15585,2
32573,8
15493,1
10546,5
27902,9
36726,4
12594,8
21230,1
11254,7
8626,9
36978,2
29545,8
26289,8
44589,0
24525,0
43652,1
3114,8
9112,8
41624,3
55575,4
53784,9
45070,5
51092,3
11269,0
11344,2
5665,0
43900,8
12426,2
46429,7
11161,8
39467,2
39577,6
57944,5
35906,5
17080,2
2174,3
38095,1
50558,9
55096,6
30370,0
17190,9
23353,1
34669,8
6741,9
50358,9
3936,6
50728,3
54360,6
58942,8
56946,4
59410,2
46380,8
5058,1
20911,0
7935,3
43665,0
53246,3
19488,6
38333,9
22876,7
53514,3
57984,8
49600,1
12221,1
56791,3
47072,0
23785,6
7550,8
18287,3
1085,1
32500,6
46996,5
52494,6
17426,6
53547,3
38699,6
19394,1
50717,3
26391,3
42605,3
48534,1
5926,3
8366,8
5375,1
21752,6
34179,1
5489,5
50607,8
37329,8
45344,5
46904,8
12125,4
7536,1
36973,9
39260,6
46577,4
41454,1
43141,6
16996,4
14183,5
20995,4
23833,8
9595,4
53738,4
3391,0
16605,4
15357,9
14813,6
34241,1
8948,3
39295,0
8913,7
50375,7
24293,1
12018,7
54277,2
59509,6
6116,1
9254,6
55067,1
14575,1
18486,0
37821,3
47649,2
55642,9
41038,0
33441,1
564,4
31808,0
26116,9
8452,1
13862,5
48045,3
6092,9
232,0
42408,8
45186,1
31080,8
13352,3
46446,0
20826,9
52171,8
55015,8
17768,8
3275,5
40773,5
57384,0
7950,7
45623,6
45316,4
37874,5
14280,7
1378,3
45678,8
28682,8
34571,4
59948,9
32120,7
19644,9
30629,9
11510,7
21274,2
22862,7
40645,8
3560,1
18959,9
54119,9
14665,8
7070,9
18052,6
4284,0
58308,7
26982,7
43645,7
24076,4
25383,0
48356,2
24236,7
36812,5
15436,8
33815,5
50276,6
58012,0
30463,4
18601,4
59904,3
28881,3
49005,4
38627,3
45510,6
10433,4
12392,3
43100,3
2670,2
4280,7
35191,9
9380,3
36165,1
45008,3
5170,8
41528,4
5671,6
26164,2
25071,3
43429,1
44681,3
54197,4
24837,6
56397,0
43200,3
33543,7
34776,6
52083,2
6790,9
55138,6
41083,7
21559,3
17977,0
18276,5
6880,1
23275,9
12142,0
34573,2
37067,4
6820,9
21217,7
48001,7
40434,5
22158,1
52176,7
37315,6
51306,7
35253,8
44166,2
43978,3
22521,9
2904,0
27981,6
54242,3
58668,0
58106,7
31165,0
55867,6
47214,6
51460,7
40351,6
38417,2
50473,9
16884,9
22403,4
23667,6
3937,0
38870,8
14278,0
56368,5
51902,4
46408,2
46544,5
58854,9
10383,6
38231,0
15460,7
20512,6
27102,4
7200,9
57831,2
20794,4
46609,9
36635,8
47031,0
46903,6
44456,3
46500,3
43869,3
42799,2
22360,6
59678,3
2659,7
6523,8
54338,2
22984,7
31209,1
7806,1
41159,4
25794,1
5234,1
38538,1
14088,7
44385,3
30293,0
19542,0
56898,5
24122,1
50774,0
27687,8
35864,5
36622,8
27613,8
30909,1
28720,5
22428,5
5007,0
806,9
29277,7
14568,9
56840,6
49348,5
53227,7
35088,8
27808,7
37168,7
48984,4
50086,6
51305,1
43364,4
34523,0
35136,4
20900,9
43072,8
14478,8
46694,2
48434,0
2654,1
34906,3
17314,0
51133,3
1158,3
53046,5
33741,1
43653,1
44439,3
28563,7
51671,1
16775,9
10003,9
26562,2
15455,8
41299,3
23024,3
5679,3
36797,0
16157,5
24891,9
28842,2
9272,3
7656,1
33584,6
47809,7
48910,7
25512,0
51797,0
22370,1
2920,1
42403,7
49805,2
313,9
47562,6
23632,5
13820,2
51808,2
55695,8
57510,5
42110,5
12000,7
57649,2
6241,7
12759,6
31528,8
16661,7
22847,1
6898,3
22046,0
16515,9
17631,5
19974,0
20074,4
53853,9
56991,1
2530,1
9646,5
57844,4
4664,2
52035,3
42710,4
49661,8
57741,8
59098,6
59260,8
2562,9
15329,0
21685,3
43176,2
23858,5
49819,2
30608,6
38446,0
22635,2
15375,3
50795,7
33793,9
18666,9
48157,9
47747,8
53823,1
38240,5
10990,4
9911,7
32552,9
22341,2
17137,2
14524,6
36328,9
37868,8
55636,9
46115,2
29268,5
33526,2
34645,3
33696,9
27140,3
43128,1
39277,8
42522,2
6691,5
36640,4
59816,2
37506,0
44805,7
7908,8
36643,7
22851,6
3756,3
14992,1
45737,8
6419,1
10793,6
11793,1
339,2
10264,2
32723,0
19366,5
29689,7
903,0
49511,9
35024,9
1359,0
40014,5
14606,1
2192,0
42764,0
28698,6
28468,4
19177,8
26019,6
27129,4
45761,4
6690,6
12491,7
11280,9
34421,0
37061,1
17029,1
18622,2
10463,6
30291,2
16994,8
10196,4
53617,5
8817,6
14042,9
4962,0
58814,5
21432,8
44781,5
9962,2
15606,3
34892,9
56173,4
11456,5
52716,0
54730,3
32264,2
38206,1
12423,6
36747,8
5409,8
51970,3
42887,2
7541,9
10038,9
48423,2
5104,2
17620,0
40676,6
48493,6
4000,7
39588,9
33687,0
9320,5
45563,3
21207,2
56136,3
50954,5
39568,1
53809,8
38987,8
52207,2
36140,7
15358,5
12039,5
59808,3
48582,4
44088,4
33001,5
1257,6
35286,1
20413,3
21742,2
29825,1
33947,0
31958,2
33922,4
3282,7
14819,2
13049,9
25136,2
25526,2
59830,7
7856,8
32413,1
11987,7
55438,8
10223,1
54594,8
3854,7
20936,0
11545,3
34808,4
24270,9
57678,8
36184,6
16073,8
40406,7
31883,4
44873,3
58238,1
21265,7
10611,8
18576,6
23487,6
34981,7
16053,9
41807,0
24195,4
44532,8
9310,0
43670,3
15556,4
27114,0
1434,8
17370,7
34408,2
10059,9
48368,1
41757,6
35905,0
53791,1
36401,2
49728,5
6972,0
34004,1
19502,2
4182,2
30907,3
31337,9
51103,7
7280,4
39490,7
43617,2
50104,6
36684,3
5626,7
47673,6
41253,8
54771,6
54970,5
16412,0
15052,3
18703,0
52783,8
9507,1
22320,8
20344,3
28266,2
16676,3
59795,0
25404,9
30483,3
19051,1
49398,4
44981,6
34549,9
25373,3
26560,7
8934,1
49484,6
34053,1
26034,5
30482,5
934,7
11242,2
53169,6
8763,0
41610,5
11335,0
59650,9
16084,5
3754,3
4952,4
38567,4
34640,1
34406,4
41541,2
57274,9
52691,0
35561,8
2786,3
35929,3
8420,6
42515,8
22618,6
33701,9
58486,1
52021,0
42616,4
44691,5
40598,2
22235,5
43175,5
14821,1
2211,5
26838,7
10405,3
2197,1
13938,5
11393,5
52443,7
54521,4
5669,9
44771,4
32949,2
9258,2
16423,0
14794,1
38336,4
54944,9
29224,3
46885,9
58215,2
8163,3
5267,6
26433,3
195,9
54474,0
17565,4
10016,2
33139,3
17659,7
28061,7
49900,6
20363,8
37019,4
30368,1
17927,2
36521,9
17169,0
32998,2
53550,9
31621,9
57303,1
48265,9
54817,0
29760,5
43328,5
43658,3
54775,1
55820,6
11181,8
50643,0
35221,3
8088,0
47975,3
50905,7
18980,1
9515,5
32533,5
38225,1
33689,6
17172,5
1154,7
47487,7
23890,8
32302,6
7901,6
40962,3
29847,9
2200,3
15725,9
52610,5
10269,4
32351,9
39561,2
23953,1
20380,7
51086,5
28333,6
3460,3
26133,1
43774,7
23706,6
58527,3
42863,5
7676,9
19247,3
49130,9
36239,1
24770,3
1134,2
37086,5
39768,3
5742,5
44097,9
50146,6
52439,5
49935,5
28623,8
9737,2
7494,7
31859,6
32029,9
6052,1
37352,9
21115,5
31897,3
24969,3
16993,5
4880,2
51670,8
16749,0
45354,0
23424,5
27618,2
7073,5
38947,9
46578,9
40199,0
10724,4
53156,3
45979,3
18642,8
53765,8
19191,2
19424,7
16951,8
10542,0
8393,9
12623,8
1589,7
2931,3
54394,8
52013,7
28692,0
46863,2
46636,7
23467,9
42724,8
7451,0
5892,9
50087,3
4444,0
17611,0
11904,8
28912,6
45699,3
1924,3
50568,2
42975,6
11207,7
14744,9
24244,4
49479,4
58289,4
20728,3
33777,8
52193,4
24771,1
42025,6
24718,5
1372,0
24112,8
53733,2
19452,1
47906,7
28074,2
45840,0
32886,1
58673,1
47854,5
40908,1
3091,4
9607,5
57231,5
57602,8
46807,3
1161,9
6547,2
12755,4
276,1
50839,0
52340,9
58596,9
48040,1
23265,3
26716,6
23712,3
8153,6
58226,6
18384,1
43017,1
25098,6
24042,3
49833,9
38773,5
58170,0
29402,8
44339,1
29929,4
38685,8
9726,8
6003,1
43112,4
17869,5
47783,9
51722,4
59829,9
59876,6
51164,8
44597,8
16119,0
16742,1
18526,2
27371,4
38572,1
31714,6
13877,2
6371,1
41851,7
37203,7
9323,5
24232,5
30945,6
20399,4
51699,2
36948,0
13404,5
18933,8
26854,7
44960,4
2813,2
3068,1
28879,2
25705,7
26377,6
12724,7
17351,1
23515,9
37465,5
24520,2
9352,5
34323,2
4511,3
6716,4
53568,5
37919,9
19647,6
51627,0
32650,2
56612,2
2381,7
37930,7
51945,9
17225,1
20059,4
56883,9
26355,2
45357,4
56501,6
14594,7
47821,3
44953,6
481,4
3194,4
39505,1
13267,4
28803,3
7742,9
25650,0
33491,3
27390,6
31173,0
31726,8
38655,5
42731,1
14255,3
13262,5
20227,7
54678,7
33259,1
40953,8
6883,0
45898,8
17193,8
9279,3
45483,7
53386,9
15694,0
3290,4
19550,0
32146,2
59785,6
51939,4
15613,4
44515,4
37865,5
37553,9
35597,2
9330,5
3683,3
21585,6
28590,6
37116,1
8808,3
59977,7
4013,1
44949,7
7646,2
8090,7
46394,2
33639,7
29632,7
52114,0
20179,2
55205,7
1803,7
32897,3
24932,1
34830,4
32333,0
18112,0
24254,7
35370,1
55140,1
10231,7
44154,9
38197,2
25385,9
24611,6
40918,1
35635,4
40674,5
32132,5
35339,8
48935,3
45152,0
29928,6
47824,6
21299,0
23844,1
56552,6
48569,9
39445,3
562,7
48293,2
21399,8
38912,8
22965,8
56974,3
31486,8
49941,1
25236,8
16297,6
9883,4
6877,1
59533,7
12251,6
9743,5
52489,1
